na,rate,WW,WI,SW,WE,er,SSB,fpp,zz
ori,rate-100,1,1,1,8,1,4,1,71.43%
our,rate-5,1,1,1,1,1,1,1,100.00%
our,rate-10,1,1,1,1,1,1,1,100.00%
our,rate-15,1,1,1,1,1,1,1,100.00%
our,rate-20,1,1,1,1,1,1,1,100.00%
our,rate-25,1,1,1,1,1,1,1,100.00%
our,rate-30,1,1,1,1,1,1,1,100.00%
our,rate-35,1,1,1,1,1,1,1,100.00%
our,rate-40,1,1,1,1,1,1,1,100.00%
SRW,rate-5,1,1,1,1,1,1,1,100.00%
SRW,rate-10,2.2,1,1,1,1,1,1,85.71%
SRW,rate-15,1.8,1,1,1,1,1,1,85.71%
SRW,rate-20,1.6,1.2,1,1,1,1,1,71.43%
SRW,rate-25,1.2,1.2,1,1,1,1,1,71.43%
SRW,rate-30,1.8,1,1,1,1,1,1,85.71%
SRW,rate-35,2.6,1.4,1,1,1,1,1,71.43%
SRW,rate-40,2.4,1.2,1,1,1,1,1,71.43%
ISRW,rate-5,1.2,1,1,1,1,1,1,85.71%
ISRW,rate-10,1.4,1.4,1,1,1,1,1,71.43%
ISRW,rate-15,1.8,1.4,1,1,1,1,1,71.43%
ISRW,rate-20,1.6,1.6,1,1,1,1,1,71.43%
ISRW,rate-25,1.6,1,1,1,1,1,1,85.71%
ISRW,rate-30,2.2,1,1,1,1,1,1,85.71%
ISRW,rate-35,2.6,1.2,1,1,1,1,1,71.43%
ISRW,rate-40,2.4,1.2,1,1,1,1,1,71.43%
RJ,rate-5,742.2,465.2,442.8,188.2,22.6,257,209,0.00%
RJ,rate-10,1368.6,799.8,805.6,340.2,17.8,447,329.8,0.00%
RJ,rate-15,1907.8,1038.8,1062.4,443.2,11.6,552.2,373.8,0.00%
RJ,rate-20,2397.6,1187.4,1217,581.2,5.2,610.4,384.8,0.00%
RJ,rate-25,2757.6,1283,1312.6,628.6,3.6,764.4,387.6,0.00%
RJ,rate-30,2887.4,1358,1273,667.4,1,797.4,382.2,14.29%
RJ,rate-35,3091,1371.2,1209.2,659,1.4,782.6,370.8,0.00%
RJ,rate-40,3439.2,1321,1071.2,703,1.2,772.8,372.2,0.00%
RNS,rate-5,735.6,470.4,449.6,186.2,26.2,249.8,212.2,0.00%
RNS,rate-10,1324.6,791,799.8,321.8,15,439.2,323.2,0.00%
RNS,rate-15,1889,1009.8,1069.2,432.6,7.4,538,370.8,0.00%
RNS,rate-20,2286.6,1157.2,1227.8,533.4,6.6,668.4,387.6,0.00%
RNS,rate-25,2715.6,1298,1294,628.8,2.4,668.4,415.8,0.00%
RNS,rate-30,3012.6,1308.8,1297.6,670.4,2,730.6,402.2,0.00%
RNS,rate-35,3059.2,1321,1209.2,682.4,1.2,825,381,0.00%
RNS,rate-40,3188.2,1312.6,1023,641.2,1,791.2,345.2,14.29%
RES,rate-5,292,262.6,244.6,92,24.6,116.6,138.8,0.00%
RES,rate-10,458.6,485.6,480.4,150.4,47.4,161.2,245.6,0.00%
RES,rate-15,570.2,657.4,701.6,188.4,69.6,171.4,324.6,0.00%
RES,rate-20,612.8,810.4,912.8,198.4,89.2,164.8,386.4,0.00%
RES,rate-25,633.8,890.2,1098.8,183.2,108.4,161,419,0.00%
RES,rate-30,618.2,954,1263.4,161.4,122,141.8,410,0.00%
RES,rate-35,591.6,999,1436.2,144.6,135.6,136.4,413.8,0.00%
RES,rate-40,551.4,1041,1559.2,122.6,140.4,121.2,372.2,0.00%
TIES,rate-5,76.4,117.8,218.2,11,7,2.8,22.6,0.00%
TIES,rate-10,68.4,146.2,375.2,8.2,2.4,3.4,19.8,0.00%
TIES,rate-15,63,153.8,454.2,7.4,1.2,2.4,17.2,0.00%
TIES,rate-20,49.2,149.6,491,6.6,1,3.8,16.8,14.29%
TIES,rate-25,40.2,146.8,460.2,5,1,3,17.2,14.29%
TIES,rate-30,29.2,128.4,370.8,4.2,1,3.4,17.4,14.29%
TIES,rate-35,25,118.8,311,5.6,1,4,14.4,14.29%
TIES,rate-40,15.6,101.8,234.2,5.2,1,3,18.6,14.29%
