com,v,rad
0,0.013525723,lle
0,0.011425192,le
0,0.029332004,sdne
0,0.039171942,deepwalk
0,0.026151134,gf
0,0.032597242,node2vec
1,0.015242557,lle
1,0.012395709,le
1,0.030424107,sdne
1,0.020911748,deepwalk
1,0.02318598,gf
1,0.036614656,node2vec
2,0.015072333,lle
2,0.012150335,le
2,0.029927848,sdne
2,0.023857031,deepwalk
2,0.021574656,gf
2,0.035778235,node2vec
3,0.01232192,lle
3,0.01003084,le
3,0.03192089,sdne
3,0.021243107,deepwalk
3,0.025441975,gf
3,0.031511316,node2vec
4,0.015333996,lle
4,0.012991698,le
4,0.028434859,sdne
4,0.02244104,deepwalk
4,0.022193167,gf
4,0.034005439,node2vec
5,0.015195973,lle
5,0.012260737,le
5,0.030483525,sdne
5,0.021108668,deepwalk
5,0.023045009,gf
5,0.034576679,node2vec
6,0.016213113,lle
6,0.012395579,le
6,0.029072477,sdne
6,0.026814156,deepwalk
6,0.025777664,gf
6,0.036316849,node2vec
7,0.014495136,lle
7,0.012593622,le
7,0.033164533,sdne
7,0.022204626,deepwalk
7,0.023040587,gf
7,0.035701101,node2vec
8,0.030484239,lle
8,0.024974061,le
8,0.029898587,sdne
8,0.023379085,deepwalk
8,0.021827293,gf
8,0.038757539,node2vec
9,0.021132809,lle
9,0.016933457,le
9,0.030979798,sdne
9,0.021744746,deepwalk
9,0.023343434,gf
9,0.040229645,node2vec
